age,credit_score,balance,tenure,num_products,has_card,is_active,salary,churn
22,699,44955.83237761671,0,2,1,1,48484.101876389024,0
58,399,41676.727933274895,3,3,1,1,0.0,0
52,726,90758.63486294982,3,4,0,0,37394.88141034463,0
40,403,92764.16675648553,2,2,1,1,50903.164245809116,0
40,375,38596.51386493152,2,3,0,1,73691.29417031923,0
62,407,43873.49292279805,5,3,1,1,97947.36436124126,0
22,579,81645.23352872161,3,4,0,0,58270.17451444854,0
54,659,26896.630370613544,2,1,1,0,57391.18680093266,0
28,553,43578.6404793994,4,1,0,0,0.0,0
22,410,63583.71069473738,3,2,1,0,96986.72586281755,0
45,449,99837.54739289032,2,3,1,1,35205.10564249796,1
68,776,35816.05535281837,4,4,0,1,107356.16191148877,0
56,831,0.0,9,2,0,1,135821.99739270977,0
57,727,0.0,5,1,0,1,60604.24866534974,0
55,401,9623.477331754664,5,3,0,1,18834.435961705392,0
58,759,7473.291272002512,9,3,0,1,69165.0693456851,0
44,695,53815.56965520364,6,2,1,1,87435.09990093192,0
24,613,12444.7938560958,2,1,1,1,54223.99993766395,0
61,421,31889.801607151836,3,4,1,0,41798.0795310338,0
41,848,29036.564600718008,4,4,1,1,98176.61053487068,0
44,571,42379.68556608026,4,3,1,1,94878.91373470976,0
37,372,112900.1732609249,1,3,0,1,52685.517983642116,0
27,454,86477.90357722067,1,2,1,1,0.0,0
66,550,60645.17661104015,3,2,0,0,92818.90926897262,0
58,381,41558.948776766476,9,1,1,1,31633.64032793117,0
51,511,42670.693735079156,7,1,0,1,80717.05376851544,0
38,584,73109.85879807798,8,2,0,0,77557.86158395185,0
60,824,83366.7629340916,1,2,0,0,0.0,0
46,393,23695.299755975982,4,1,1,1,74054.08422057868,0
41,638,61459.23022456926,5,4,1,1,95726.62626872277,0
41,807,0.0,4,2,1,1,101857.62076552433,0
29,753,68468.55136682389,4,3,0,0,75868.28755481563,0
22,812,90485.96967834744,3,2,1,1,0.0,0
46,435,48797.25492476499,0,2,1,1,133854.05310933187,0
64,750,132661.0798456042,8,4,0,1,90551.13337712902,0
21,839,24750.462102557984,9,3,1,0,9834.033531476132,0
62,513,68697.61661213046,0,4,1,0,30611.847992086325,0
61,599,58567.01013336178,4,2,0,0,81561.21046472603,0
32,615,55988.09330226367,5,2,0,1,103989.20966491278,0
50,596,55427.113279810095,7,2,0,1,45601.85718261491,0
26,494,64284.20120037887,9,3,1,0,111276.27036895374,0
57,835,93918.34973854799,4,2,1,1,0.0,0
54,828,115109.44945098978,7,2,1,1,17877.049445310637,0
36,540,59909.99021983371,9,1,1,0,0.0,0
21,752,92612.64288686533,8,3,0,1,25129.74285651534,0
68,548,31929.322149328702,2,3,0,1,145403.85922720475,0
41,747,90638.21810904932,8,3,0,0,172890.11172927014,0
64,642,29520.339046920388,4,4,0,0,81729.52341152212,0
53,585,103626.39744352529,0,4,1,0,38078.53963657227,1
58,414,148425.63509572958,7,4,1,0,58918.00495745283,0
57,677,55116.64448114433,8,1,1,0,93666.9945416511,0
28,510,0.0,3,4,1,0,0.0,0
36,458,38077.08267020708,4,2,0,1,41375.041200939755,0
42,446,109275.00537157213,3,2,1,1,141744.65372251245,0
43,840,82123.0714810098,1,2,0,0,17714.49653358187,0
20,401,69956.54394700118,9,2,1,1,32548.755036922856,0
46,749,100346.73423819356,0,4,1,0,70659.68279907202,0
26,783,79378.13756993688,5,3,1,1,84157.11297523546,0
56,365,108709.00749804545,0,4,1,1,38749.79769002639,1
53,644,96776.94706587942,6,4,0,1,73848.21916259777,0
65,638,120868.01810947835,9,2,1,0,100396.97668697198,0
56,529,74351.84335625017,6,3,1,1,168072.59118818236,0
37,683,96210.37605975819,6,3,1,1,63687.78102826096,0
68,554,47714.917076568585,8,2,0,1,67935.13423297186,0
39,569,35941.56753763976,9,3,0,0,146372.61729897553,0
34,565,128270.70561675893,8,3,1,1,42541.70708509524,0
65,750,68648.18705290752,2,4,0,0,3782.348361890952,0
37,666,92195.22263449516,5,4,1,0,82512.44878294812,0
21,539,64949.6005764556,8,3,0,0,123808.75125439576,0
42,813,36539.37396320143,2,4,1,0,88052.35675998428,0
59,751,60439.31570329605,6,1,0,0,65149.21712263771,0
27,816,117439.76071070856,0,4,1,0,0.0,0
42,715,82209.60297117697,8,2,0,1,67081.53773658135,0
24,545,0.0,6,2,1,1,131657.74631581682,0
53,736,51390.22173695381,7,4,0,0,8294.145923038923,0
42,514,131291.7517081885,8,2,1,1,57762.64130983643,0
35,485,51448.12552600176,2,4,0,1,50625.763392081964,0
29,575,0.0,4,2,1,0,35114.77146811274,0
47,834,135721.95541690174,8,2,1,0,82396.15022595029,0
52,633,87295.7003925117,1,2,1,1,92165.26206280038,0
66,541,57199.485647487985,8,2,0,0,91641.34523967183,0
40,580,45143.29055671726,2,4,0,1,21159.51181924375,0
26,495,103294.07719166942,5,1,0,1,0.0,0
61,679,38320.6639909523,5,3,0,0,83119.42182653642,0
50,525,105930.25698063953,6,4,1,0,44704.0479258674,0
54,627,81687.81142897024,8,2,1,0,161915.6189843393,0
23,534,69787.277019494,3,3,0,1,164225.4848007473,0
34,510,65820.59221342382,1,2,1,0,169534.489719802,0
57,835,53001.27853143287,4,1,0,1,22994.45494826434,0
61,522,101825.60480837064,6,3,1,0,98468.45433710467,0
40,385,25386.28671592663,7,4,0,1,113547.6258625742,0
59,539,0.0,7,3,1,1,107917.7116772201,0
61,616,84577.60491569899,3,2,0,0,52280.102790307064,0
38,397,85249.53312268591,9,1,0,1,133958.24514826632,0
64,502,79209.64610047067,0,4,0,0,70023.74931832614,1
32,433,76309.13478472155,1,4,0,0,76405.30624677197,0
30,600,47178.38486649809,0,4,1,1,0.0,0
53,711,91499.30817542101,9,2,1,0,102238.24847864943,0
51,834,58177.674929818364,1,3,0,0,56979.41432137946,1
25,544,40515.45756739288,6,2,0,0,93238.94310502625,0
61,781,47524.347509784006,8,1,1,1,81755.68499023092,0
28,457,140825.58795103326,7,1,1,0,79046.82883318854,0
59,740,0.0,9,2,0,0,67714.32137666579,0
18,631,79991.52417183196,0,3,1,0,109329.9867330227,0
